Time (s),Amplitude
0.0,-165
4.166843587674975e-05,-108
8.33368717534995e-05,-56
0.00012500530763024924,11
0.000166673743506999,77
0.00020834217938374875,126
0.0002500106152604985,183
0.00029167905113724823,210
0.000333347487013998,240
0.00037501592289074774,240
0.0004166843587674975,227
0.00045835279464424725,202
0.000500021230520997,152
0.0005416896663977467,113
0.0005833581022744965,65
0.0006250265381512462,-14
0.000666694974027996,-74
0.0007083634099047457,-121
0.0007500318457814955,-171
0.0007917002816582452,-202
0.000833368717534995,-236
0.0008750371534117447,-233
0.0009167055892884945,-222
0.0009583740251652442,-213
0.001000042461041994,-161
0.0010417108969187436,-112
0.0010833793327954934,-49
0.0011250477686722432,24
0.001166716204548993,71
0.0012083846404257427,145
0.0012500530763024924,178
0.0012917215121792422,222
0.001333389948055992,247
0.0013750583839327417,255
0.0014167268198094914,241
0.0014583952556862412,220
0.001500063691562991,185
0.0015417321274397407,132
0.0015834005633164905,74
0.0016250689991932402,-2
0.00166673743506999,-52
0.0017084058709467397,-122
0.0017500743068234895,-168
0.0017917427427002392,-208
0.001833411178576989,-227
0.0018750796144537387,-247
0.0019167480503304885,-229
0.0019584164862072382,-194
0.002000084922083988,-163
0.0020417533579607378,-104
0.0020834217938374873,-44
0.0021250902297142373,20
0.002166758665590987,80
0.0022084271014677368,133
0.0022500955373444863,184
0.0022917639732212363,223
0.002333432409097986,238
0.002375100844974736,240
0.0024167692808514853,229
0.0024584377167282353,197
0.002500106152604985,163
0.002541774588481735,114
0.0025834430243584844,49
0.0026251114602352343,-9
0.002666779896111984,-74
0.0027084483319887334,-126
0.0027501167678654834,-172
0.002791785203742233,-211
0.002833453639618983,-241
0.0028751220754957324,-239
0.0029167905113724824,-233
0.002958458947249232,-208
0.003000127383125982,-158
0.0030417958190027314,-106
0.0030834642548794814,-40
0.003125132690756231,29
0.003166801126632981,87
0.0032084695625097305,145
0.0032501379983864804,185
0.00329180643426323,229
0.00333347487013998,236
0.0033751433060167295,253
0.0034168117418934794,230
0.003458480177770229,218
0.003500148613646979,173
0.0035418170495237285,116
0.0035834854854004785,55
0.003625153921277228,-5
0.003666822357153978,-65
0.0037084907930307275,-118
0.0037501592289074775,-172
0.003791827664784227,-202
0.003833496100660977,-229
0.0038751645365377265,-228
0.0039168329724144765,-227
0.003958501408291226,-202
0.004000169844167976,-158
0.004041838280044725,-100
0.0040835067159214755,-46
0.004125175151798225,17
0.004166843587674975,73
0.004208512023551724,141
0.0042501804594284745,181
0.004291848895305224,223
0.004333517331181974,232
0.004375185767058723,247
0.0044168542029354736,240
0.004458522638812223,206
0.004500191074688973,168
0.004541859510565722,117
0.004583527946442473,58
0.004625196382319222,1
0.004666864818195972,-68
0.004708533254072721,-116
0.004750201689949472,-174
0.004791870125826221,-206
0.004833538561702971,-228
0.00487520699757972,-239
0.004916875433456471,-223
0.00495854386933322,-203
0.00500021230520997,-158
0.005041880741086719,-112
0.00508354917696347,-50
0.005125217612840219,5
0.005166886048716969,75
0.005208554484593718,129
0.005250222920470469,179
0.005291891356347218,212
0.005333559792223968,232
0.005375228228100717,247
0.005416896663977467,239
0.005458565099854217,201
0.005500233535730967,173
0.005541901971607716,116
0.005583570407484466,64
